tahun,KABUPATEN BANDUNG,KABUPATEN BANDUNG BARAT,KABUPATEN BEKASI,KABUPATEN BOGOR,KABUPATEN CIAMIS,KABUPATEN CIANJUR,KABUPATEN CIREBON,KABUPATEN GARUT,KABUPATEN INDRAMAYU,KABUPATEN KARAWANG,KABUPATEN KUNINGAN,KABUPATEN MAJALENGKA,KABUPATEN PANGANDARAN,KABUPATEN PURWAKARTA,KABUPATEN SUBANG,KABUPATEN SUKABUMI,KABUPATEN SUMEDANG,KABUPATEN TASIKMALAYA,KOTA BANDUNG,KOTA BANJAR,KOTA BEKASI,KOTA BOGOR,KOTA CIMAHI,KOTA CIREBON,KOTA DEPOK,KOTA SUKABUMI,KOTA TASIKMALAYA,JAWA BARAT
2015-01-01,8.34,11.56,8.93,7.38,2.83,14.94,12.56,7.67,21.44,14.09,7.87,6.33,8.61,10.18,2.56,9.72,15.27,16.75,12.83,4.56,7.39,10.37,15.81,11.64,17.35,8.96,6.77,9.974
2016-01-01,7.52,7.92,5.4,6.87,10.4,13.42,13.42,6.81,23.49,13.82,8.34,3.38,5.11,9.94,4.97,13.42,11.64,15.75,6.43,8.67,11.06,7.58,14.18,12.43,7.01,10.57,14.01,9.688
2017-01-01,9.62,8.0,4.25,5.38,8.55,13.92,11.12,12.65,23.06,14.18,6.4,2.51,3.79,9.39,4.93,10.93,11.25,15.26,1.99,7.96,11.43,6.59,14.54,13.69,5.94,8.98,13.12,9.203
2018-01-01,7.91,6.94,4.77,1.08,6.47,6.57,10.29,12.07,20.51,18.75,8.19,2.22,6.47,7.82,3.26,5.32,9.95,15.71,7.56,8.24,18.18,4.8,9.75,10.1,5.41,12.13,10.79,7.054
2019-01-01,7.32,7.6,3.42,4.06,7.33,6.61,7.93,4.8,15.39,4.17,8.4,5.27,21.67,4.6,2.2,8.29,8.77,15.06,6.53,7.61,10.69,4.54,9.06,11.21,4.55,9.31,10.95,6.922
2020-01-01,15.77,13.57,4.27,11.47,11.24,6.4,13.89,6.39,10.23,2.54,7.98,5.29,5.87,12.69,5.17,6.89,11.91,18.97,8.86,13.81,10.35,7.65,11.52,13.75,8.09,7.32,17.57,9.441
